step,loss
58682,0.0154
58686,0.0154
58768,0.0153
58870,0.0157
58972,0.0157
59074,0.0152
59086,0.0152
59162,0.0158
59182,0.0158
59250,0.0155
59352,0.0158
59454,0.0156
59556,0.0156
59582,0.0156
59642,0.0154
59744,0.0154
59846,0.0152
59948,0.0159
59982,0.0159
59999,0.0158
60031,0.0158
60133,0.0154
60235,0.016
60337,0.0155
60379,0.0155
60421,0.0153
60523,0.0156
60625,0.0158
60727,0.0155
60779,0.0155
60813,0.0158
60915,0.0159
61017,0.0155
61119,0.0156
61179,0.0156
61205,0.0154
61307,0.0154
61409,0.0155
61511,0.0154
61579,0.0154
61597,0.0154
61699,0.0154
61801,0.016
61903,0.0157
61979,0.0157
61989,0.0157
62091,0.0156
62193,0.0154
62295,0.0155
62379,0.0156
62381,0.0156
62483,0.0154
62585,0.0155
62687,0.0156
62779,0.0154
62784,0.0154
62884,0.0159
62983,0.0154
63085,0.0152
63187,0.0154
63284,0.0156
63375,0.0153
63477,0.0153
63579,0.0154
63681,0.0151
63684,0.0151
63767,0.0152
63869,0.0153
63971,0.0153
64073,0.0154
64084,0.0154
64159,0.0153
64261,0.0155
64363,0.0152
64465,0.0158
64484,0.0158
64551,0.0156
64653,0.0157
64755,0.0154
64857,0.0152
64884,0.0152
64942,0.0155
64999,0.0155
65043,0.0152
65145,0.0154
65247,0.0156
65282,0.0156
65332,0.0154
65434,0.0152
65536,0.0156
65638,0.0159
65682,0.0159
65724,0.0153
65826,0.0153
65928,0.0158
66030,0.0154
66082,0.0154
66116,0.0156
66218,0.0159
66320,0.016
66422,0.0156
66482,0.0156
66517,0.0151
66585,0.0151
66612,0.0155
66714,0.0153
66816,0.0155
66918,0.0155
66985,0.0155
67004,0.0156
67106,0.0153
67208,0.0152
67310,0.0154
67385,0.0154
67396,0.0154
67498,0.0153
67600,0.0152
67702,0.0155
67785,0.0155
67788,0.0155
67890,0.0155
67992,0.0153
68094,0.0156
68185,0.0154
68282,0.0155
68384,0.0158
68486,0.0155
68585,0.0151
68674,0.0153
68776,0.0157
68878,0.0157
68980,0.0153
68985,0.0153
69066,0.0153
69168,0.0156
69270,0.0154
69372,0.0157
69385,0.0157
69458,0.0153
69560,0.0155
69662,0.0152
69764,0.0152
69785,0.0152
69848,0.0157
69950,0.0156
69999,0.0158
70051,0.0158
70153,0.0156
70182,0.0156
70221,0.0154
70315,0.0156
70417,0.0152
70519,0.0154
70621,0.0153
70707,0.0152
70809,0.0154
70911,0.0156
71013,0.0153
71021,0.0153
71099,0.0153
71201,0.0153
71303,0.0158
71405,0.0156
71421,0.0156
71491,0.0156
71593,0.0156
71695,0.0157
71797,0.0156
71821,0.0155
71883,0.0155
71985,0.0156
72087,0.0154
72189,0.0154
72221,0.0153
72275,0.0153
72377,0.0156
72479,0.0155
72581,0.0155
72621,0.0158
72667,0.0158
72769,0.0152
72871,0.0156
72973,0.0155
73021,0.0155
73059,0.0155
73161,0.0152
73263,0.0155
73365,0.0157
73421,0.0156
73451,0.0156
73553,0.0152
73655,0.0155
73757,0.0155
73821,0.0153
73843,0.0153
73945,0.0155
74047,0.0155
74149,0.0155
74221,0.0155
74241,0.0155
74321,0.0153
74333,0.0153
74435,0.0153
74537,0.0157
74639,0.0153
74721,0.0153
74724,0.0153
74826,0.0155
74928,0.0153
74999,0.0153
75029,0.0152
75119,0.0156
75216,0.0154
75318,0.0151
75420,0.0155
75519,0.0155
75608,0.0153
75710,0.0152
